Address,Date
黄浦区静修路104弄,"['2022-04-05', '2022-04-04', '2022-04-03']"
黄浦区静修路10弄,"['2022-04-05', '2022-04-02', '2022-03-29']"
黄浦区静修路114弄,"['2022-04-05', '2022-04-03', '2022-04-02', '2022-04-01', '2022-03-30', '2022-03-29', '2022-03-27']"
黄浦区静修路126弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-02', '2022-03-30', '2022-03-29', '2022-03-27']"
黄浦区静修路12号,"['2022-04-05', '2022-03-29']"
黄浦区静修路146号,['2022-04-05']
黄浦区静修路50弄,"['2022-04-05', '2022-04-03', '2022-04-02']"
黄浦区静修路52号,['2022-04-05']
黄浦区静修路56号,['2022-04-05']
黄浦区静修路64弄,"['2022-04-05', '2022-04-02', '2022-03-30', '2022-03-29']"
黄浦区静修路66号,"['2022-04-05', '2022-03-29']"
黄浦区静修路68号,['2022-04-05']
黄浦区静修路70号,['2022-04-05']
黄浦区静修路79弄,"['2022-04-05', '2022-04-02', '2022-03-30']"
黄浦区静修路85号,"['2022-04-05', '2022-03-30', '2022-03-29']"
黄浦区九江路218号,['2022-04-05']
黄浦区局门路295弄,"['2022-04-05', '2022-04-04']"
黄浦区局门路361弄,"['2022-04-05', '2022-04-03']"
黄浦区局门路400号,"['2022-04-05', '2022-04-03']"
黄浦区局门路405弄,"['2022-04-05', '2022-04-03']"
黄浦区局门路434弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-01', '2022-03-30']"
黄浦区局门路620号,"['2022-04-05', '2022-04-04']"
黄浦区巨鹿路233号,['2022-04-05']
黄浦区巨鹿路246号,['2022-04-05']
黄浦区老道前街20号,['2022-04-05']
黄浦区老道前街68弄,['2022-04-05']
黄浦区老重庆中路58号,['2022-04-05']
黄浦区丽园路546号,['2022-04-05']
黄浦区丽园路588号,['2022-04-05']
黄浦区丽园路660号,['2022-04-05']
黄浦区丽园路842弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-02']"
黄浦区丽园路871号,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-30', '2022-03-26', '2022-03-24', '2022-03-23']"
黄浦区丽园路873号,"['2022-04-05', '2022-03-27', '2022-03-26', '2022-03-24', '2022-03-23', '2022-03-22']"
黄浦区丽园路875号,"['2022-04-05', '2022-04-04', '2022-03-29', '2022-03-27', '2022-03-23', '2022-03-22']"
黄浦区柳江街19号,"['2022-04-05', '2022-04-02']"
黄浦区鲁班路277弄,"['2022-04-05', '2022-04-02']"
黄浦区鲁班路388弄,['2022-04-05']
黄浦区鲁班路509弄,"['2022-04-05', '2022-04-04', '2022-04-03']"
黄浦区鲁班路721弄,"['2022-04-05', '2022-03-22']"
黄浦区鲁班路738弄,"['2022-04-05', '2022-04-04', '2022-03-30', '2022-03-29']"
