Address,Coordinates(BD_GCJ)
上海市黄浦区复兴东路701弄,"[(31.22831782220268, 121.49699698491648), (31.22263351757404, 121.49039685090521)]"
上海市黄浦区复兴东路917号,"[(31.22683252846028, 121.49402224622018), (31.22111751871743, 121.4874306905267)]"
上海市黄浦区复兴东路983弄,"[(31.226061540547875, 121.49296781521258), (31.22033395924615, 121.48637989119688)]"
上海市黄浦区复兴中路471号,"[(31.221272503410916, 121.47908800694734), (31.215318164176285, 121.47256146485714)]"
上海市黄浦区复兴中路553弄,"[(31.22045800380141, 121.47361921283316), (31.214399827977857, 121.46711998133644)]"
上海市黄浦区复兴中路565弄,"[(31.22108273721575, 121.47267913611697), (31.215006785819313, 121.46618398974985)]"
上海市黄浦区傅家街39弄,"[(31.230080921733677, 121.50012587283828), (31.224420549669805, 121.49351892120616)]"
上海市黄浦区高家弄37弄,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区高家弄54弄,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区高家弄55号,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区高家弄60号,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区高家弄66弄,"[(31.235498236464565, 121.48457854005488), (31.22964285508258, 121.47802071830677)]"
上海市黄浦区高家弄74号,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区光启路129号,"[(31.229329722961083, 121.50078774433803), (31.223673346529523, 121.49418003131069)]"
上海市黄浦区光启路215号,"[(31.22807796893098, 121.50080651892318), (31.222421819746053, 121.49419925556734)]"
上海市黄浦区光启路99号,"[(31.22976526613485, 121.50091359693998), (31.224109552511504, 121.49430555632561)]"
上海市黄浦区光启南路73号,"[(31.226580859929143, 121.50103037665627), (31.220926113513194, 121.49442346699395)]"
上海市黄浦区广东路138号,"[(31.239072374652263, 121.49468869907803), (31.23336441921681, 121.48809323400175)]"
上海市黄浦区广东路152号,"[(31.239263802514216, 121.49478634488698), (31.2335569319835, 121.48819063466148)]"
上海市黄浦区广东路154号,"[(31.23924836479793, 121.49473226689527), (31.233540898256294, 121.48813670707071)]"
上海市黄浦区广东路240号,"[(31.23875806160337, 121.49330207469283), (31.233033980298313, 121.48671070364321)]"
上海市黄浦区广东路339号,"[(31.238043829129953, 121.49133801952581), (31.232294391041584, 121.48475307106949)]"
上海市黄浦区广东路429号,"[(31.23802653866203, 121.48984889848192), (31.23225607816277, 121.48326935194308)]"
上海市黄浦区广东路652号,"[(31.237150123882603, 121.4857458880651), (31.231314771043277, 121.47918294578437)]"
上海市黄浦区广东路654号,"[(31.23715174487929, 121.48571651347493), (31.231315895710495, 121.47915369888928)]"
上海市黄浦区广西北路118弄,"[(31.237351436018677, 121.48548969133365), (31.231511744146687, 121.47892787846459)]"
上海市黄浦区广西北路228弄,"[(31.239119228201453, 121.48509955725068), (31.2332729204232, 121.47853966597951)]"
上海市黄浦区广西南路23号,"[(31.234854918771504, 121.48728522438701), (31.229044988044194, 121.48071575027716)]"
上海市黄浦区贵州路77弄,"[(31.241418342393125, 121.4828650222946), (31.235532778914003, 121.47631577189631)]"
上海市黄浦区海潮路240弄,"[(31.213442050793024, 121.50372691013612), (31.207800816700484, 121.49712691375272)]"
上海市黄浦区海潮路93弄,"[(31.214961528834515, 121.50591203828914), (31.2093236041713, 121.4993096956936)]"
上海市黄浦区汉口路766号,"[(31.23909692066612, 121.48256112554058), (31.233205728884613, 121.47601276986106)]"
上海市黄浦区合肥路199号,"[(31.22089605878507, 121.48334247167315), (31.215020347892874, 121.47679601217308)]"
上海市黄浦区合肥路271号,"[(31.22028753701466, 121.4813038571488), (31.21437485102762, 121.47476737398443)]"
上海市黄浦区合肥路289弄,"[(31.220202149096266, 121.48110515197), (31.21428580224631, 121.47456967734377)]"
上海市黄浦区合肥路622号,"[(31.219832416966685, 121.4781337370041), (31.21386025377712, 121.47161290174618)]"
上海市黄浦区河南南路1001弄,"[(31.21950653575603, 121.49979358963014), (31.21384554110054, 121.49319307724318)]"
上海市黄浦区河南南路1009弄,"[(31.21898161833823, 121.49991432189067), (31.21332151496264, 121.4933140185375)]"
上海市黄浦区河南南路368弄,"[(31.22978456523602, 121.49511952640061), (31.22408149992615, 121.48852364476149)]"
上海市黄浦区河南南路398弄,"[(31.228571801984344, 121.495698843624), (31.22287491379448, 121.48910183623715)]"
上海市黄浦区河南南路555弄,"[(31.226237323571752, 121.49758088349796), (31.220558427821253, 121.49098035691812)]"
上海市黄浦区淮海东路89弄,"[(31.230855813500817, 121.48837091642636), (31.225063232205663, 121.48179769722482)]"
上海市黄浦区淮海中路526弄,"[(31.227307454470328, 121.4758250020129), (31.22129010601668, 121.46931091320515)]"
上海市黄浦区淮海中路558号,"[(31.22696160481857, 121.474888069366), (31.220926453793002, 121.46837872374424)]"
上海市黄浦区淮海中路593弄,"[(31.22635265928944, 121.47422476057743), (31.220304993191647, 121.46771894092177)]"
上海市黄浦区淮海中路615号,"[(31.22607404686087, 121.47361463147506), (31.220014881911435, 121.46711191495993)]"
上海市黄浦区淮海中路637弄,"[(31.225788408430976, 121.47295132268648), (31.219716805134553, 121.46645195844752)]"
上海市黄浦区淮海中路774号,"[(31.224850736256624, 121.46976215846496), (31.21872067827784, 121.46327835612833)]"
上海市黄浦区淮海中路927弄,"[(31.22261969336921, 121.46719695725068), (31.216445331012903, 121.46072598389281)]"
上海市黄浦区黄陂南路506弄,"[(31.223976205280724, 121.48232963221066), (31.218081699695997, 121.47578583026726)]"
上海市黄浦区黄陂南路847弄,"[(31.216905930618072, 121.48515336575072), (31.211062770627052, 121.4786019083975)]"
上海市黄浦区黄河路107弄,"[(31.240460526525432, 121.47663239900527), (31.234458207252942, 121.47011290542136)]"
上海市黄浦区黄河路163号,"[(31.241652063722206, 121.47658757356032), (31.235648970297056, 121.47006861608878)]"
上海市黄浦区黄河路259弄,"[(31.243083709896176, 121.47587692407139), (31.2370671810689, 121.46936192813376)]"
上海市黄浦区黄河路281弄,"[(31.243446480678184, 121.47563276463377), (31.237425331880853, 121.46911910246371)]"
上海市黄浦区黄家路99弄,"[(31.22216574270126, 121.5020006364376), (31.216516433677587, 121.49539506694066)]"
上海市黄浦区黄家阙路120号,"[(31.219848398318838, 121.49458880750532), (31.214140948172986, 121.48799994747571)]"
上海市黄浦区黄家阙路68弄,"[(31.220714861457605, 121.49395002245718), (31.21499996077207, 121.48736238743928)]"
上海市黄浦区黄家阙路72弄,"[(31.220593342473972, 121.49399359027441), (31.214878971805618, 121.48740591396188)]"
上海市黄浦区黄家阙路88弄,"[(31.219937955604067, 121.49395819703733), (31.214223298390067, 121.48737111581524)]"
上海市黄浦区火腿弄35号,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区吉安路175弄,"[(31.22492021665111, 121.48740164478109), (31.219112966119514, 121.48083483935235)]"
上海市黄浦区吉安路288号,"[(31.223377971360055, 121.4879057738333), (31.217578980790197, 121.48133781782919)]"
上海市黄浦区吉安路293弄,"[(31.22300284763619, 121.4880900162934), (31.217206815835695, 121.4815215527723)]"
上海市黄浦区济南路297号,"[(31.222622241045315, 121.48702058358376), (31.216809190319207, 121.48045675569462)]"
上海市黄浦区建德路9号,"[(31.215744266587915, 121.47398105029256), (31.209693913458825, 121.46748390353265)]"
上海市黄浦区建国西路194号,"[(31.212933545164855, 121.46871176983214), (31.206787268501692, 121.46224201915993)]"
上海市黄浦区建国西路91弄,"[(31.218166326734593, 121.47809636749489), (31.212193790552437, 121.4715770280476)]"
上海市黄浦区建国中路103弄,"[(31.215426014761544, 121.47583488337352), (31.209410968806324, 121.46932896640728)]"
上海市黄浦区建国中路145号,"[(31.215141347546062, 121.47476895405538), (31.209106071796537, 121.4682685069051)]"
上海市黄浦区建国中路61弄,"[(31.21572604550333, 121.47635392429719), (31.20972083191057, 121.46984519661783)]"
上海市黄浦区江西中路135弄,"[(31.239906240817817, 121.49403509198896), (31.234190919327297, 121.48744168206066)]"
上海市黄浦区江西中路170号,"[(31.24051486657119, 121.49454497019643), (31.23480538619175, 121.4879502012726)]"
上海市黄浦区江西中路368号,"[(31.245574450309604, 121.49253761670384), (31.239841407183714, 121.48595086005291)]"
上海市黄浦区江西中路412弄,"[(31.246727331150872, 121.49218557077448), (31.24098990818765, 121.4856005693576)]"
上海市黄浦区江西中路416号,"[(31.246880692483888, 121.49200384356982), (31.241140915917146, 121.48541953584785)]"
上海市黄浦区江西中路422号,"[(31.246992606735244, 121.49206771309157), (31.241253683430482, 121.485483251306)]"
